"ano","sq_candidato","nome_candidato","sigla_uf","sigla_partido","qtd_doacoes","qtd_doadores","total_receita","media_receita","recursos de outros candidatos","recursos de pessoas físicas","recursos próprios","qtd_despesas","qtd_fornecedores","total_despesa","media_despesa","descricao_cargo","ds_genero","ds_grau_instrucao","ds_estado_civil","ds_ocupacao","desc_sit_cand_tot","votos"
2018,10000600207,"DANIELA PAIVA DE OLIVEIRA","AC","PSL",1,1,5000,5000,5000,NA,NA,3,3,4992,1664,"DEPUTADO FEDERAL","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","OUTROS","NÃO ELEITO",640
2018,10000600214,"MANOEL JOSE NOGUEIRA LIMA","AC","PSL",11,10,56197.57,5619.757,14584.37,11600,30000,11,9,30000,3333.33333333333,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","VEREADOR","NÃO ELEITO",4413
2018,10000600232,"SEBASTIÃO BOCALOM RODRIGUES","AC","PSL",17,15,113837.89,7589.19266666667,16500,42000,70237.89,74,72,115155.88,1599.38722222222,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PROFESSOR DE ENSINO MÉDIO","NÃO ELEITO",21872
2018,10000600246,"JAMYL ASFURY MARTINS OLIVEIRA","AC","PSC",29,29,108015.8,3724.68275862069,NA,38015.8,NA,34,33,69963.03,2120.09181818182,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","ENGENHEIRO","NÃO ELEITO",5149
2018,10000600839,"ANTONIO PAULINO DA SILVA","AC","PROS",5,4,4740,1185,7740,NA,NA,4,4,7501.8,1875.45,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS","SUPLENTE",214
2018,10000600840,"FERNANDO MELO DA COSTA","AC","PROS",12,12,332985,27748.75,7000,9000,NA,190,154,318524.8,2068.34285714286,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","DIVORCIADO(A)","OUTROS","SUPLENTE",3214
2018,10000600841,"FRANCISCO CARLOS OLIVEIRA DE LIMA","AC","PRP",14,13,35404.72,2723.44,NA,15013.2,NA,3,3,15013.2,5004.4,"DEPUTADO FEDERAL","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","OUTROS","SUPLENTE",4743
2018,10000600842,"FRANCISCO DA SILVA PIYÃKO","AC","PSOL",17,16,81836.66,5114.79125,5000,2800,NA,41,39,76170.73,1953.09564102564,"DEPUTADO FEDERAL","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","OUTROS","SUPLENTE",2681
2018,10000600843,"GILDOMAR OLIVEIRA GOMES","AC","PSOL",8,7,49279.86,7039.98,3000,NA,13.2,20,18,44713.55,2484.08611111111,"DEPUTADO FEDERAL","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","OUTROS","SUPLENTE",492
2018,10000600844,"GLÓRIA THAÍS SOUZA DE MELO","AC","PSOL",7,5,71279.86,14255.972,NA,13.2,NA,48,46,119792.05,2604.175,"DEPUTADO FEDERAL","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","OUTROS","SUPLENTE",358
